sample_id	title	source	sample_type
GSM363370	Liver Non-Tumor Tissue LCS-093B	lcs-093b	Normal
GSM363371	Liver Tumor Tissue LCS-097A	lcs-097a	Tumor
GSM363372	Liver Non-Tumor Tissue LCS-097B	lcs-097b	Normal
GSM363373	Liver Non-Tumor Tissue LCS-104B	lcs-104b	Normal
GSM363374	Liver Non-Tumor Tissue LCS-140B	lcs-140b	Normal
GSM363375	Liver Non-Tumor Tissue LCS-150B	lcs-150b	Normal
GSM363376	Liver Tumor Tissue LCS-158A	lcs-158a	Tumor
GSM363378	Liver Tumor Tissue LCS-161A	lcs-161a	Tumor
GSM363380	Liver Non-Tumor Tissue LCS-162B	lcs-162b	Normal
GSM363381	Liver Non-Tumor Tissue LCS-014B	lcs-014b	Normal
GSM363382	Liver Non-Tumor Tissue LCS-166B	lcs-166b	Normal
GSM363384	Liver Tumor Tissue LCS-172A	lcs-172a	Tumor
GSM363386	Liver Tumor Tissue LCS-197A	lcs-197a	Tumor
GSM363388	Liver Tumor Tissue LCS-200A	lcs-200a	Tumor
GSM363391	Liver Tumor Tissue LCS-201A	lcs-201a	Tumor
GSM363393	Liver Tumor Tissue LCS-216A	lcs-216a	Tumor
GSM363397	Liver Non-Tumor Tissue LCS-216B	lcs-216b	Normal
GSM363400	Liver Tumor Tissue LCS-238A	lcs-238a	Tumor
GSM363402	Liver Non-Tumor Tissue LCS-241B	lcs-241b	Normal
GSM363404	Liver Tumor Tissue LCS-046A	lcs-046a	Tumor
GSM363407	Liver Non-Tumor Tissue LCS-248B	lcs-248b	Normal
GSM363417	Liver Non-Tumor Tissue LCS-259B	lcs-259b	Normal
GSM712532	Liver Tumor Tissue X02-342A	x02-342a	Tumor
GSM712533	Liver Non-Tumor Tissue X02-342B	x02-342b	Normal
GSM712534	Liver Tumor Tissue X02-362A	x02-362a	Tumor
GSM712535	Liver Non-Tumor Tissue X02-362B	x02-362b	Normal
GSM712536	Liver Non-Tumor Tissue LCS-003B	lcs-003b	Normal
GSM712537	Liver Non-Tumor Tissue LCS-006B	lcs-006b	Normal
GSM712538	Liver Non-Tumor Tissue LCS-026B	lcs-026b	Normal
GSM712539	Liver Non-Tumor Tissue LCS-128B	lcs-128b	Normal
GSM712540	Liver Non-Tumor Tissue LCS-168B	lcs-168b	Normal
GSM712541	Liver Non-Tumor Tissue LCS-181B	lcs-181b	Normal
GSM712542	Liver Tumor Tissue LCS-190A	lcs-190a	Tumor
