sample_id	title	source	sample_type
GSM363102	Liver Tumor Tissue LCS-245A	lcs-245a	Tumor
GSM363103	Liver Non-Tumor Tissue LCS-281B	lcs-281b	Normal
GSM363104	Liver Tumor Tissue LCS-061A	lcs-061a	Tumor
GSM363105	Liver Tumor Tissue LCS-191A	lcs-191a	Tumor
GSM363106	Liver Tumor Tissue LCS-171A	lcs-171a	Tumor
GSM363107	Liver Tumor Tissue LCS-249A	lcs-249a	Tumor
GSM363108	Liver Tumor Tissue LCS-020A	lcs-020a	Tumor
GSM363109	Liver Tumor Tissue LCS-045A	lcs-045a	Tumor
GSM363110	Liver Non-Tumor Tissue LCS-213B	lcs-213b	Normal
GSM363111	Liver Non-Tumor Tissue LCS-033B	lcs-033b	Normal
GSM363112	Liver Non-Tumor Tissue LCS-164B	lcs-164b	Normal
GSM363113	Liver Non-Tumor Tissue LCS-245B	lcs-245b	Normal
GSM363114	Liver Non-Tumor Tissue LCS-094B	lcs-094b	Normal
GSM363115	Liver Tumor Tissue LCS-094A	lcs-094a	Tumor
GSM363116	Liver Non-Tumor Tissue LCS-191B	lcs-191b	Normal
GSM363117	Liver Non-Tumor Tissue LCS-171B	lcs-171b	Normal
GSM363118	Liver Non-Tumor Tissue LCS-249B	lcs-249b	Normal
GSM363119	Liver Non-Tumor Tissue LCS-020B	lcs-020b	Normal
GSM363120	Liver Non-Tumor Tissue LCS-045B	lcs-045b	Normal
GSM363121	Liver Tumor Tissue LCS-131A	lcs-131a	Tumor
GSM363122	Liver Tumor Tissue LCS-241A	lcs-241a	Tumor
GSM363123	Liver Tumor Tissue LCS-057A	lcs-057a	Tumor
GSM363124	Liver Tumor Tissue LCS-074A	lcs-074a	Tumor
GSM363125	Liver Tumor Tissue LCS-160A	lcs-160a	Tumor
GSM363126	Liver Tumor Tissue LCS-179A	lcs-179a	Tumor
GSM363127	Liver Tumor Tissue LCS-134A	lcs-134a	Tumor
GSM363128	Liver Tumor Tissue LCS-009A	lcs-009a	Tumor
GSM363129	Liver Tumor Tissue LCS-224A	lcs-224a	Tumor
GSM363130	Liver Tumor Tissue LCS-078A	lcs-078a	Tumor
GSM363131	Liver Non-Tumor Tissue LCS-131B	lcs-131b	Normal
GSM363132	Liver Non-Tumor Tissue LCS-201B	lcs-201b	Normal
GSM363133	Liver Non-Tumor Tissue LCS-057B	lcs-057b	Normal
GSM363134	Liver Non-Tumor Tissue LCS-074B	lcs-074b	Normal
GSM363135	Liver Non-Tumor Tissue LCS-160B	lcs-160b	Normal
GSM363136	Liver Non-Tumor Tissue LCS-179B	lcs-179b	Normal
GSM363137	Liver Non-Tumor Tissue LCS-134B	lcs-134b	Normal
GSM363138	Liver Non-Tumor Tissue LCS-009B	lcs-009b	Normal
GSM363139	Liver Non-Tumor Tissue LCS-147B	lcs-147b	Normal
GSM363140	Liver Non-Tumor Tissue LCS-224B	lcs-224b	Normal
GSM363141	Liver Non-Tumor Tissue LCS-078B	lcs-078b	Normal
GSM363142	Liver Tumor Tissue LCS-093A	lcs-093a	Tumor
GSM363143	Liver Tumor Tissue LCS-253A	lcs-253a	Tumor
GSM363144	Liver Tumor Tissue LCS-279A	lcs-279a	Tumor
GSM363145	Liver Tumor Tissue LCS-008A	lcs-008a	Tumor
GSM363146	Liver Tumor Tissue LCS-049A	lcs-049a	Tumor
GSM363147	Liver Tumor Tissue LCS-291A	lcs-291a	Tumor
GSM363148	Liver Tumor Tissue LCS-281A	lcs-281a	Tumor
GSM363149	Liver Tumor Tissue LCS-156A	lcs-156a	Tumor
GSM363150	Liver Tumor Tissue LCS-282A	lcs-282a	Tumor
GSM363151	Liver Tumor Tissue LCS-090A	lcs-090a	Tumor
GSM363152	Liver Tumor Tissue LCS-151A	lcs-151a	Tumor
GSM363153	Liver Non-Tumor Tissue LCS-253B	lcs-253b	Normal
GSM363154	Liver Non-Tumor Tissue LCS-279B	lcs-279b	Normal
GSM363155	Liver Non-Tumor Tissue LCS-008B	lcs-008b	Normal
GSM363156	Liver Non-Tumor Tissue LCS-172B	lcs-172b	Normal
GSM363157	Liver Non-Tumor Tissue LCS-049B	lcs-049b	Normal
GSM363158	Liver Non-Tumor Tissue LCS-291B	lcs-291b	Normal
GSM363159	Liver Non-Tumor Tissue LCS-061B	lcs-061b	Normal
GSM363160	Liver Non-Tumor Tissue LCS-156B	lcs-156b	Normal
GSM363161	Liver Non-Tumor Tissue LCS-282B	lcs-282b	Normal
GSM363162	Liver Non-Tumor Tissue LCS-090B	lcs-090b	Normal
GSM363163	Liver Non-Tumor Tissue LCS-151B	lcs-151b	Normal
GSM363164	Liver Tumor Tissue LCS-047A	lcs-047a	Tumor
GSM363165	Liver Non-Tumor Tissue LCS-047B	lcs-047b	Normal
GSM363166	Liver Tumor Tissue LCS-075A	lcs-075a	Tumor
GSM363167	Liver Non-Tumor Tissue LCS-075B	lcs-075b	Normal
GSM363168	Liver Tumor Tissue LCS-259A	lcs-259a	Tumor
GSM363169	Liver Tumor Tissue LCS-010A	lcs-010a	Tumor
GSM363170	Liver Tumor Tissue LCS-264A	lcs-264a	Tumor
GSM363171	Liver Non-Tumor Tissue LCS-264B	lcs-264b	Normal
GSM363172	Liver Tumor Tissue LCS-163A	lcs-163a	Tumor
GSM363173	Liver Non-Tumor Tissue LCS-163B	lcs-163b	Normal
GSM363174	Liver Tumor Tissue LCS-089A	lcs-089a	Tumor
GSM363175	Liver Non-Tumor Tissue LCS-089B	lcs-089b	Normal
GSM363176	Liver Tumor Tissue LCS-143A	lcs-143a	Tumor
GSM363177	Liver Non-Tumor Tissue LCS-143B	lcs-143b	Normal
GSM363178	Liver Tumor Tissue LCS-199A	lcs-199a	Tumor
GSM363179	Liver Non-Tumor Tissue LCS-199B	lcs-199b	Normal
GSM363180	Liver Tumor Tissue LCS-034A	lcs-034a	Tumor
GSM363181	Liver Non-Tumor Tissue LCS-034B	lcs-034b	Normal
GSM363182	Liver Tumor Tissue LCS-278A	lcs-278a	Tumor
GSM363183	Liver Non-Tumor Tissue LCS-278B	lcs-278b	Normal
GSM363184	Liver Tumor Tissue LCS-119A	lcs-119a	Tumor
GSM363185	Liver Non-Tumor Tissue LCS-119B	lcs-119b	Normal
GSM363186	Liver Tumor Tissue LCS-184A	lcs-184a	Tumor
GSM363187	Liver Non-Tumor Tissue LCS-184B	lcs-184b	Normal
GSM363188	Liver Tumor Tissue LCS-203A	lcs-203a	Tumor
GSM363189	Liver Non-Tumor Tissue LCS-203B	lcs-203b	Normal
GSM363190	Liver Tumor Tissue LCS-178A	lcs-178a	Tumor
GSM363191	Liver Non-Tumor Tissue LCS-178B	lcs-178b	Normal
GSM363192	Liver Tumor Tissue LCS-284A	lcs-284a	Tumor
GSM363193	Liver Non-Tumor Tissue LCS-284B	lcs-284b	Normal
GSM363194	Liver Tumor Tissue LCS-108A	lcs-108a	Tumor
GSM363195	Liver Non-Tumor Tissue LCS-261B	lcs-261b	Normal
GSM363196	Liver Tumor Tissue LCS-043A	lcs-043a	Tumor
GSM363197	Liver Non-Tumor Tissue LCS-043B	lcs-043b	Normal
GSM363198	Liver Tumor Tissue LCS-041A	lcs-041a	Tumor
GSM363199	Liver Non-Tumor Tissue LCS-041B	lcs-041b	Normal
GSM363200	Liver Tumor Tissue LCS-044A	lcs-044a	Tumor
GSM363201	Liver Non-Tumor Tissue LCS-044B	lcs-044b	Normal
GSM363202	Liver Tumor Tissue LCS-174A	lcs-174a	Tumor
GSM363203	Liver Non-Tumor Tissue LCS-174B	lcs-174b	Normal
GSM363204	Liver Tumor Tissue LCS-166A	lcs-166a	Tumor
GSM363205	Liver Tumor Tissue LCS-193A	lcs-193a	Tumor
GSM363206	Liver Non-Tumor Tissue LCS-193B	lcs-193b	Normal
GSM363207	Liver Tumor Tissue LCS-215A	lcs-215a	Tumor
GSM363208	Liver Non-Tumor Tissue LCS-215B	lcs-215b	Normal
GSM363209	Liver Tumor Tissue LCS-021A	lcs-021a	Tumor
GSM363210	Liver Non-Tumor Tissue LCS-021B	lcs-021b	Normal
GSM363211	Liver Tumor Tissue LCS-129A	lcs-129a	Tumor
GSM363212	Liver Non-Tumor Tissue LCS-129B	lcs-129b	Normal
GSM363213	Liver Tumor Tissue LCS-198A	lcs-198a	Tumor
GSM363214	Liver Non-Tumor Tissue LCS-198B	lcs-198b	Normal
GSM363215	Liver Tumor Tissue LCS-084A	lcs-084a	Tumor
GSM363216	Liver Non-Tumor Tissue LCS-084B	lcs-084b	Normal
GSM363217	Liver Tumor Tissue LCS-250A	lcs-250a	Tumor
GSM363218	Liver Tumor Tissue LCS-011A	lcs-011a	Tumor
GSM363219	Liver Non-Tumor Tissue LCS-108B	lcs-108b	Normal
GSM363220	Liver Tumor Tissue LCS-071A	lcs-071a	Tumor
GSM363221	Liver Non-Tumor Tissue LCS-011B	lcs-011b	Normal
GSM363222	Liver Tumor Tissue LCS-219A	lcs-219a	Tumor
GSM363223	Liver Non-Tumor Tissue LCS-219B	lcs-219b	Normal
GSM363224	Liver Tumor Tissue LCS-194A	lcs-194a	Tumor
GSM363225	Liver Non-Tumor Tissue LCS-194B	lcs-194b	Normal
GSM363226	Liver Tumor Tissue LCS-170A	lcs-170a	Tumor
GSM363227	Liver Non-Tumor Tissue LCS-170B	lcs-170b	Normal
GSM363228	Liver Tumor Tissue LCS-204A	lcs-204a	Tumor
GSM363229	Liver Non-Tumor Tissue LCS-204B	lcs-204b	Normal
GSM363230	Liver Tumor Tissue LCS-261A	lcs-261a	Tumor
GSM363231	Liver Non-Tumor Tissue LCS-071B	lcs-071b	Normal
GSM363232	Liver Tumor Tissue LCS-195A	lcs-195a	Tumor
GSM363233	Liver Non-Tumor Tissue LCS-195B	lcs-195b	Normal
GSM363234	Liver Non-Tumor Tissue LCS-200B	lcs-200b	Normal
GSM363235	Liver Tumor Tissue LCS-206A	lcs-206a	Tumor
GSM363236	Liver Non-Tumor Tissue LCS-206B	lcs-206b	Normal
GSM363237	Liver Tumor Tissue LCS-036A	lcs-036a	Tumor
GSM363238	Liver Non-Tumor Tissue LCS-161B	lcs-161b	Normal
GSM363239	Liver Tumor Tissue LCS-145A	lcs-145a	Tumor
GSM363240	Liver Non-Tumor Tissue LCS-145B	lcs-145b	Normal
GSM363241	Liver Tumor Tissue LCS-064A	lcs-064a	Tumor
GSM363242	Liver Non-Tumor Tissue LCS-064B	lcs-064b	Normal
GSM363243	Liver Tumor Tissue LCS-236A	lcs-236a	Tumor
GSM363244	Liver Non-Tumor Tissue LCS-236B	lcs-236b	Normal
GSM363245	Liver Tumor Tissue LCS-038A	lcs-038a	Tumor
GSM363246	Liver Non-Tumor Tissue LCS-038B	lcs-038b	Normal
GSM363247	Liver Tumor Tissue LCS-270A	lcs-270a	Tumor
GSM363248	Liver Non-Tumor Tissue LCS-270B	lcs-270b	Normal
GSM363249	Liver Tumor Tissue LCS-182A	lcs-182a	Tumor
GSM363250	Liver Non-Tumor Tissue LCS-182B	lcs-182b	Normal
GSM363251	Liver Tumor Tissue LCS-002A	lcs-002a	Tumor
GSM363252	Liver Non-Tumor Tissue LCS-197B	lcs-197b	Normal
GSM363253	Liver Non-Tumor Tissue LCS-173B	lcs-173b	Normal
GSM363254	Liver Non-Tumor Tissue LCS-240B	lcs-240b	Normal
GSM363255	Liver Non-Tumor Tissue LCS-266B	lcs-266b	Normal
GSM363256	Liver Non-Tumor Tissue LCS-167B	lcs-167b	Normal
GSM363257	Liver Non-Tumor Tissue LCS-028B	lcs-028b	Normal
GSM363258	Liver Non-Tumor Tissue LCS-032B	lcs-032b	Normal
GSM363259	Liver Non-Tumor Tissue LCS-050B	lcs-050b	Normal
GSM363260	Liver Non-Tumor Tissue LCS-285B	lcs-285b	Normal
GSM363261	Liver Non-Tumor Tissue LCS-031B	lcs-031b	Normal
GSM363262	Liver Non-Tumor Tissue LCS-016B	lcs-016b	Normal
GSM363263	Liver Tumor Tissue LCS-189A	lcs-189a	Tumor
GSM363264	Liver Tumor Tissue LCS-277A	lcs-277a	Tumor
GSM363265	Liver Tumor Tissue LCS-117A	lcs-117a	Tumor
GSM363266	Liver Tumor Tissue LCS-267A	lcs-267a	Tumor
GSM363267	Liver Tumor Tissue LCS-100A	lcs-100a	Tumor
GSM363268	Liver Tumor Tissue LCS-228A	lcs-228a	Tumor
GSM363269	Liver Tumor Tissue LCS-054A	lcs-054a	Tumor
GSM363270	Liver Tumor Tissue LCS-063A	lcs-063a	Tumor
GSM363271	Liver Tumor Tissue LCS-268A	lcs-268a	Tumor
GSM363272	Liver Tumor Tissue LCS-222A	lcs-222a	Tumor
GSM363273	Liver Tumor Tissue LCS-192A	lcs-192a	Tumor
GSM363274	Liver Tumor Tissue LCS-022A	lcs-022a	Tumor
GSM363275	Liver Tumor Tissue LCS-175A	lcs-175a	Tumor
GSM363276	Liver Non-Tumor Tissue LCS-277B	lcs-277b	Normal
GSM363277	Liver Non-Tumor Tissue LCS-117B	lcs-117b	Normal
GSM363278	Liver Non-Tumor Tissue LCS-267B	lcs-267b	Normal
GSM363279	Liver Non-Tumor Tissue LCS-100B	lcs-100b	Normal
GSM363280	Liver Non-Tumor Tissue LCS-228B	lcs-228b	Normal
GSM363281	Liver Non-Tumor Tissue LCS-054B	lcs-054b	Normal
GSM363282	Liver Non-Tumor Tissue LCS-063B	lcs-063b	Normal
GSM363283	Liver Non-Tumor Tissue LCS-268B	lcs-268b	Normal
GSM363284	Liver Non-Tumor Tissue LCS-222B	lcs-222b	Normal
GSM363285	Liver Non-Tumor Tissue LCS-192B	lcs-192b	Normal
GSM363286	Liver Non-Tumor Tissue LCS-022B	lcs-022b	Normal
GSM363287	Liver Non-Tumor Tissue LCS-036B	lcs-036b	Normal
GSM363288	Liver Tumor Tissue LCS-025A	lcs-025a	Tumor
GSM363289	Liver Tumor Tissue LCS-066A	lcs-066a	Tumor
GSM363290	Liver Tumor Tissue LCS-248A	lcs-248a	Tumor
GSM363291	Liver Tumor Tissue LCS-121A	lcs-121a	Tumor
GSM363292	Liver Tumor Tissue LCS-027A	lcs-027a	Tumor
GSM363293	Liver Tumor Tissue LCS-157A	lcs-157a	Tumor
GSM363294	Liver Tumor Tissue LCS-148A	lcs-148a	Tumor
GSM363295	Liver Tumor Tissue LCS-048A	lcs-048a	Tumor
GSM363296	Liver Tumor Tissue LCS-012A	lcs-012a	Tumor
GSM363297	Liver Tumor Tissue LCS-126A	lcs-126a	Tumor
GSM363298	Liver Tumor Tissue LCS-260A	lcs-260a	Tumor
GSM363299	Liver Non-Tumor Tissue LCS-223B	lcs-223b	Normal
GSM363300	Liver Non-Tumor Tissue LCS-025B	lcs-025b	Normal
GSM363301	Liver Non-Tumor Tissue LCS-066B	lcs-066b	Normal
GSM363302	Liver Non-Tumor Tissue LCS-121B	lcs-121b	Normal
GSM363303	Liver Non-Tumor Tissue LCS-027B	lcs-027b	Normal
GSM363304	Liver Non-Tumor Tissue LCS-157B	lcs-157b	Normal
GSM363305	Liver Non-Tumor Tissue LCS-148B	lcs-148b	Normal
GSM363306	Liver Non-Tumor Tissue LCS-048B	lcs-048b	Normal
GSM363307	Liver Non-Tumor Tissue LCS-012B	lcs-012b	Normal
GSM363308	Liver Non-Tumor Tissue LCS-260B	lcs-260b	Normal
GSM363309	Liver Tumor Tissue LCS-247A	lcs-247a	Tumor
GSM363310	Liver Tumor Tissue LCS-088A	lcs-088a	Tumor
GSM363311	Liver Tumor Tissue LCS-051A	lcs-051a	Tumor
GSM363312	Liver Tumor Tissue LCS-243A	lcs-243a	Tumor
GSM363313	Liver Tumor Tissue LCS-165A	lcs-165a	Tumor
GSM363314	Liver Tumor Tissue LCS-208A	lcs-208a	Tumor
GSM363315	Liver Tumor Tissue LCS-110A	lcs-110a	Tumor
GSM363316	Liver Tumor Tissue LCS-056A	lcs-056a	Tumor
GSM363317	Liver Tumor Tissue LCS-146A	lcs-146a	Tumor
GSM363318	Liver Non-Tumor Tissue LCS-247B	lcs-247b	Normal
GSM363319	Liver Non-Tumor Tissue LCS-051B	lcs-051b	Normal
GSM363320	Liver Non-Tumor Tissue LCS-243B	lcs-243b	Normal
GSM363321	Liver Non-Tumor Tissue LCS-165B	lcs-165b	Normal
GSM363322	Liver Non-Tumor Tissue LCS-208B	lcs-208b	Normal
GSM363323	Liver Non-Tumor Tissue LCS-110B	lcs-110b	Normal
GSM363324	Liver Non-Tumor Tissue LCS-056B	lcs-056b	Normal
GSM363325	Liver Non-Tumor Tissue LCS-146B	lcs-146b	Normal
GSM363326	Liver Tumor Tissue LCS-147A	lcs-147a	Tumor
GSM363327	Liver Tumor Tissue LCS-173A	lcs-173a	Tumor
GSM363328	Liver Tumor Tissue LCS-240A	lcs-240a	Tumor
GSM363329	Liver Tumor Tissue LCS-266A	lcs-266a	Tumor
GSM363330	Liver Tumor Tissue LCS-167A	lcs-167a	Tumor
GSM363331	Liver Tumor Tissue LCS-028A	lcs-028a	Tumor
GSM363332	Liver Tumor Tissue LCS-032A	lcs-032a	Tumor
GSM363333	Liver Tumor Tissue LCS-050A	lcs-050a	Tumor
GSM363334	Liver Tumor Tissue LCS-285A	lcs-285a	Tumor
GSM363335	Liver Tumor Tissue LCS-031A	lcs-031a	Tumor
GSM363336	Liver Tumor Tissue LCS-016A	lcs-016a	Tumor
GSM363337	Liver Tumor Tissue LCS-106A	lcs-106a	Tumor
GSM363338	Liver Non-Tumor Tissue LCS-106B	lcs-106b	Normal
GSM363339	Liver Tumor Tissue LCS-107A	lcs-107a	Tumor
GSM363340	Liver Non-Tumor Tissue LCS-107B	lcs-107b	Normal
GSM363341	Liver Tumor Tissue LCS-109A	lcs-109a	Tumor
GSM363342	Liver Non-Tumor Tissue LCS-109B	lcs-109b	Normal
GSM363343	Liver Tumor Tissue LCS-116A	lcs-116a	Tumor
GSM363344	Liver Tumor Tissue LCS-137A	lcs-137a	Tumor
GSM363345	Liver Non-Tumor Tissue LCS-137B	lcs-137b	Normal
GSM363346	Liver Tumor Tissue LCS-138A	lcs-138a	Tumor
GSM363347	Liver Non-Tumor Tissue LCS-138B	lcs-138b	Normal
GSM363348	Liver Tumor Tissue LCS-139A	lcs-139a	Tumor
GSM363349	Liver Non-Tumor Tissue LCS-139B	lcs-139b	Normal
GSM363350	Liver Tumor Tissue LCS-142A	lcs-142a	Tumor
GSM363351	Liver Non-Tumor Tissue LCS-142B	lcs-142b	Normal
GSM363352	Liver Tumor Tissue LCS-196A	lcs-196a	Tumor
GSM363353	Liver Non-Tumor Tissue LCS-196B	lcs-196b	Normal
GSM363354	Liver Tumor Tissue LCS-207A	lcs-207a	Tumor
GSM363355	Liver Tumor Tissue LCS-231A	lcs-231a	Tumor
GSM363356	Liver Non-Tumor Tissue LCS-231B	lcs-231b	Normal
GSM363357	Liver Tumor Tissue LCS-251A	lcs-251a	Tumor
GSM363358	Liver Tumor Tissue LCS-072A	lcs-072a	Tumor
GSM363359	Liver Non-Tumor Tissue LCS-072B	lcs-072b	Normal
GSM363360	Liver Tumor Tissue LCS-263A	lcs-263a	Tumor
GSM363361	Liver Non-Tumor Tissue LCS-263B	lcs-263b	Normal
GSM363362	Liver Tumor Tissue LCS-269A	lcs-269a	Tumor
GSM363363	Liver Non-Tumor Tissue LCS-269B	lcs-269b	Normal
GSM363364	Liver Tumor Tissue LCS-273A	lcs-273a	Tumor
GSM363365	Liver Non-Tumor Tissue LCS-273B	lcs-273b	Normal
GSM363366	Liver Tumor Tissue LCS-289A	lcs-289a	Tumor
GSM363367	Liver Non-Tumor Tissue LCS-289B	lcs-289b	Normal
GSM363368	Liver Tumor Tissue LCS-290A	lcs-290a	Tumor
GSM363369	Liver Non-Tumor Tissue LCS-290B	lcs-290b	Normal
