model,cv_folds,accuracy,balanced_accuracy,f1,roc_auc,accuracy_std
logreg,5,0.9834453781512605,0.9732972972972973,0.9905488794537831,0.9970486486486486,0.012129983580346984
random_forest,5,0.9764145658263306,0.9173333333333333,0.9867712372126526,0.9978630630630632,0.007441496881712202
svm_rbf,5,0.9858263305322129,0.9832972972972973,0.9919089250237605,0.9978594594594595,0.004817927170868375
