model,accuracy,balanced_accuracy,f1,roc_auc,roc_auc_std
gat,0.5749,0.5841,0.5508,0.6916,0.0635
gcn,0.5849,0.5728,0.6391,0.6818,0.0514
random_forest,0.5913,0.6072,0.6327,0.6548,0.0256
svm_rbf,0.6007,0.6092,0.608,0.65,0.0377
logreg,0.5491,0.5612,0.5752,0.585,0.0681
