model,setting,accuracy,balanced_accuracy,f1,roc_auc,roc_auc_std
logreg,classical_legacy,0.9834453781512605,0.9732972972972973,0.9905488794537831,0.9970486486486486,0.0036359699634172238
random_forest,classical_legacy,0.9764145658263306,0.9173333333333333,0.9867712372126526,0.9978630630630632,0.0021650911092615157
svm_rbf,classical_legacy,0.9858263305322129,0.9832972972972973,0.9919089250237605,0.9978594594594595,0.002474560772861729
logreg,classical_pipeline_groupkfold,0.988343475321163,0.9933859649122807,0.9933061273193724,0.9977309941520469,0.0024053222338665465
random_forest,classical_pipeline_groupkfold,0.9718116511249286,0.9014088250930357,0.9841726675410886,0.9974520309783468,0.0022750520860212206
svm_rbf,classical_pipeline_groupkfold,0.9882613735149232,0.9856283891547051,0.9933060039251933,0.9986081871345028,0.002269246987849506
