task,graph,model,n_edges,roc_auc,roc_auc_std,balanced_accuracy,f1
tumor_vs_normal,string_v12_hc,gat,77,0.9839,0.0093,0.9089,0.9338
stage_early_vs_late,string_v12_hc,gat,77,0.6899,0.0644,0.5786,0.2946
