cohort,model,n,n_tumor,n_normal,roc_auc,balanced_accuracy,note
"TCGA-LIHC (CV, internal)",GAT,424,374,50,0.993,0.913,5-fold CV (from leakage audit)
GSE14520 (external),GAT (TCGA-trained),445,225,220,0.5,0.5,"no CV — trained once on TCGA, predicted once on external"
